tconst,budget,revenue,runtime,year,best_vote_avg,best_vote_count,genres_Action,genres_Adventure,genres_Animation,genres_Biography,genres_Comedy,genres_Crime,genres_Documentary,genres_Drama,genres_Family,genres_Fantasy,genres_Film-Noir,genres_History,genres_Horror,genres_Music,genres_Musical,genres_Mystery,genres_Romance,genres_ScienceFiction,genres_Sport,genres_Thriller,genres_War,genres_Western
tt0043639,0,0.0,78,1951,6.6,747.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0043643,1825000,2000000.0,120,1951,7.0,4951.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
tt0043646,0,0.0,76,1951,6.7,910.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
tt0043651,0,0.0,61,1951,5.0,1071.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0043652,0,0.0,103,1951,6.8,882.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0043658,0,0.0,96,1951,6.2,376.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
tt0043660,0,0.0,93,1951,6.9,3787.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
tt0043663,0,0.0,91,1951,6.7,577.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0043664,0,0.0,102,1951,6.5,611.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0043666,0,0.0,85,1951,6.5,280.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tt0043667,0,0.0,88,1951,6.8,629.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0043669,0,0.0,110,1951,6.8,1219.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
tt0043670,0,0.0,105,1951,6.8,197.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tt0043671,0,0.0,82,1952,6.5,237.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0043677,0,0.0,87,1951,6.6,411.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0043678,0,0.0,82,1951,6.3,297.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
tt0043679,0,0.0,107,1951,7.5,133.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0043682,0,0.0,107,1951,6.2,204.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0043686,0,10188.0,86,1952,8.0,13074.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
tt0043687,0,0.0,107,1951,6.9,2294.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0043695,0,0.0,78,1951,5.7,643.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0043699,0,0.0,86,1951,6.5,701.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt0043701,0,0.0,95,1951,5.5,64.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
